state_name,Year,State_CountyFIPS,county,birthrate,per_capita_income,unemployment_rate,poverty_percent_all,cdc_fpop_yr1519
,2003,0,,,,,12.1,
,2004,0,,,,,12.5,
,2005,0,,,,,12.7,
,2006,0,,,,,13.3,
,2007,0,,,,,13.3,
,2008,0,,,,,13,
,2009,0,,,,,13.2,
,2010,0,,,,,14.3,
,2011,0,,,,,15.3,
,2012,0,,,,,15.9,
,2013,0,,,,,15.9,
,2014,0,,,,,15.8,
,2015,0,,,,,15.5,
,2016,0,,,,,14.7,
,2017,0,,,,,14,
,2018,0,,,,,13.4,
,2019,0,,,,,13.1,
Alabama,2003,1000,,,,,15.4,
Alabama,2004,1000,,,,,15.3,
Alabama,2005,1000,,,,,16.1,
Alabama,2006,1000,,,,,16.9,
Alabama,2007,1000,,,,,16.6,
Alabama,2008,1000,,,,,16.6,
Alabama,2009,1000,,,,,15.9,
Alabama,2010,1000,,,,,17.5,
Alabama,2011,1000,,,,,18.9,
Alabama,2012,1000,,,,,19.1,
Alabama,2013,1000,,,,,19,
Alabama,2014,1000,,,,,18.9,
Alabama,2015,1000,,,,,19.2,
Alabama,2016,1000,,,,,18.5,
Alabama,2017,1000,,,,,17.2,
Alabama,2018,1000,,,,,16.9,
Alabama,2019,1000,,,,,16.8,
Alabama,2003,1001,Autauga,48.400002,24990,4.8,10.3,1624
Alabama,2004,1001,Autauga,46.400002,26371,5,10.4,1722
Alabama,2005,1001,Autauga,44.099998,27693,4.7,11.6,1791
Alabama,2006,1001,Autauga,44.299999,29048,3.8,10.4,1909
Alabama,2007,1001,Autauga,43.700001,30008,3.3,12.5,2032
Alabama,2008,1001,Autauga,41.599998,31769,3.4,10.4,2090
Alabama,2009,1001,Autauga,38.700001,33315,5.3,10.7,2156
Alabama,2010,1001,Autauga,34.700001,32991,8.9,11.2,2249
Alabama,2011,1001,Autauga,31.9,33736,8.800000000000001,11.9,2047
Alabama,2012,1001,Autauga,30.299999,34490,8.300000000000001,14.9,1959
Alabama,2013,1001,Autauga,27.799999,35433,7.1,12.7,1931
Alabama,2014,1001,Autauga,26.1,35492,6.3,13.5,1916
Alabama,2015,1001,Autauga,24.700001,36487,5.8,13.1,1843
Alabama,2016,1001,Autauga,23.299999,38325,5.2,12.7,1821
Alabama,2017,1001,Autauga,22.4,39221,5.1,13.5,1846
Alabama,2018,1001,Autauga,21.5,40185,4,13.4,1884
Alabama,2019,1001,Autauga,21.4,41243,3.6,13.8,1841
Alabama,2003,1003,Baldwin,47.299999,27560,5,10.7,4738
Alabama,2004,1003,Baldwin,47.599998,28299,4.9,10.1,4856
Alabama,2005,1003,Baldwin,47.599998,30726,5.1,10,5073
Alabama,2006,1003,Baldwin,50,32768,4,11.4,5200
Alabama,2007,1003,Baldwin,50.900002,35335,3.2,11,5380
Alabama,2008,1003,Baldwin,49.400002,36610,3.2,10.3,5534
Alabama,2009,1003,Baldwin,46.299999,36467,4.8,9.9,5632
Alabama,2010,1003,Baldwin,41.400002,35478,8.9,13.3,5693
Alabama,2011,1003,Baldwin,37.700001,36945,9.9,13.3,5682
Alabama,2012,1003,Baldwin,35.5,38423,9,13.4,5698
Alabama,2013,1003,Baldwin,32.099998,38628,7.7,13.9,5703
Alabama,2014,1003,Baldwin,29.700001,38828,6.7,14.2,5841
Alabama,2015,1003,Baldwin,27.5,40174,6.1,13,5956
Alabama,2016,1003,Baldwin,25.200001,42137,5.6,12.9,6041
Alabama,2017,1003,Baldwin,23.299999,43623,5.4,11.7,6207
Alabama,2018,1003,Baldwin,21.299999,44870,4.2,10.1,6368
Alabama,2019,1003,Baldwin,20,46247,3.6,9.800000000000001,6461
Alabama,2003,1005,Barbour,69.800003,20100,7.7,23.6,990
Alabama,2004,1005,Barbour,70.800003,20737,7.1,22.2,976
Alabama,2005,1005,Barbour,71.199997,22682,7.1,23.9,980
Alabama,2006,1005,Barbour,75.099998,23857,5.7,22.4,949
Alabama,2007,1005,Barbour,77,24801,5.6,28.7,925
Alabama,2008,1005,Barbour,75.400002,25662,6.4,26.1,921
Alabama,2009,1005,Barbour,71.400002,25893,9.1,24.5,875
Alabama,2010,1005,Barbour,64.599998,26189,13.2,32.8,839
Alabama,2011,1005,Barbour,59.299999,27842,12.1,25.3,809
Alabama,2012,1005,Barbour,55.5,28026,11.4,29.5,763
Alabama,2013,1005,Barbour,49.900002,27872,11.8,29,716
Alabama,2014,1005,Barbour,45.5,29719,10.4,28.2,687
Alabama,2015,1005,Barbour,41.900002,29566,10.5,25.4,658
Alabama,2016,1005,Barbour,38.400002,31277,8.9,32,673
Alabama,2017,1005,Barbour,35.799999,31288,8.4,29.9,698
Alabama,2018,1005,Barbour,33.5,32167,6,33.4,690
Alabama,2019,1005,Barbour,32.400002,33328,5.1,30.9,694
Alabama,2003,1007,Bibb,51.200001,18512,7,17.7,619
Alabama,2004,1007,Bibb,51,19504,5.9,16.8,677
Alabama,2005,1007,Bibb,50.700001,20874,5.4,17.1,675
Alabama,2006,1007,Bibb,53.299999,21369,4.4,16.6,745
Alabama,2007,1007,Bibb,54.900002,22717,4.2,18.8,740
Alabama,2008,1007,Bibb,54.700001,24142,4.2,18.2,734
Alabama,2009,1007,Bibb,53.200001,24990,6,18.5,745
Alabama,2010,1007,Bibb,49.799999,23736,12.2,18.1,751
Alabama,2011,1007,Bibb,47.5,25064,11.2,20.9,725
Alabama,2012,1007,Bibb,46.400002,25888,10.4,22.2,664
Alabama,2013,1007,Bibb,43.400002,27003,8.800000000000001,21.5,621
Alabama,2014,1007,Bibb,40.900002,27225,8,23.1,601
Alabama,2015,1007,Bibb,38.5,28027,7.2,18.1,598
Alabama,2016,1007,Bibb,35.799999,28886,6.7,22.2,588
Alabama,2017,1007,Bibb,33.700001,28681,6.5,20.1,565
Alabama,2018,1007,Bibb,31.6,28912,4.5,20.2,576
Alabama,2019,1007,Bibb,30.6,30060,4,21.8,585
Alabama,2003,1009,Blount,51.099998,21234,5.4,12.6,1636
Alabama,2004,1009,Blount,50.200001,22328,4.6,11.9,1709
Alabama,2005,1009,Blount,49,23609,4.1,12.4,1739
Alabama,2006,1009,Blount,50.900002,24602,3.6,11.4,1770
Alabama,2007,1009,Blount,51.799999,24952,3.2,12.8,1836
Alabama,2008,1009,Blount,51.200001,26702,3.2,13.1,1886
Alabama,2009,1009,Blount,49.400002,27953,4.8,13.1,1900
Alabama,2010,1009,Blount,45.700001,27633,9.199999999999999,14.6,1866
Alabama,2011,1009,Blount,43,27980,9.699999999999999,16.5,1864
